ts	phase	decision	why	evidence	result
2026-08-21T12:39:01-05:00	setup	integration branch engine-retirement off 7bb9701e; plan committed	audit verified except D9	docs/plans/2026-08-21-engine-retirement-campaign.md	9cb1bab3
2026-08-21T12:40:56-05:00	wave0	launched S1-S5 scouts (read-only) + U01 bench writer, all Opus	inventories before writers; bench before deletions (D8)	docs/plans/...campaign.md Units	pending
2026-08-21T12:40:56-05:00	wave1	launched U05, U06 early: no scout dependency, disjoint file ownership	wall-clock	plan D4,D5	pending
2026-08-21T12:45:12-05:00	wave0	S2 landed: 33 classes not 35; prod locator item_coverage.py:1821 names a class U03 deletes	scout finding	/c/Users/skywa/AppData/Local/Temp/claude/C--Users-skywa-Desktop-claude-code-merged-calculator/85529a23-c569-4b08-b009-dfcc47dd7374/scratchpad/wave0/S2-interpreters.md	U03 launched
2026-08-21T12:46:32-05:00	wave0	S1 landed: path A also builds score panels; 4 control-event divergences C1-C4 + W1,B1	scout finding	/c/Users/skywa/AppData/Local/Temp/claude/C--Users-skywa-Desktop-claude-code-merged-calculator/85529a23-c569-4b08-b009-dfcc47dd7374/scratchpad/wave0/S1-packet-path.md	U02 launched with divergences as pre-steps
2026-08-21T12:51:18-05:00	wave0	U01 merged: benchmarks.md + bench_request.py --compare (25% tol, ~15% run spread)	diff reconciled: 4 files +213	c4bdee33	merged
2026-08-21T12:52:37-05:00	wave0	S5 landed: 53 rows / 829 lines dead; damage.py 0; xref.py is the instrument (vulture lies on routes/enums)	scout finding; U09 becomes one worker in wave 2	/c/Users/skywa/AppData/Local/Temp/claude/C--Users-skywa-Desktop-claude-code-merged-calculator/85529a23-c569-4b08-b009-dfcc47dd7374/scratchpad/wave0/S5-dead-code.md	pending U09
2026-08-21T12:57:05-05:00	wave1	S4 landed; plan_audit .claude exclusion fixed (c549935c); plan doc renumbered waves 1-4 for prose gate	scout finding 5.1 blocked gate 6 in every worktree	e0d0b98e	test_plan_audit 52 passed
2026-08-21T12:58:03-05:00	wave1	S3 landed: 529 sites (A144 B19 C184 D182). RULING: lint keys on provenance; A=0 via one accessor whose default (if any) lives at the payload schema home; B collapse to the OPTIONS spec; C delete; D1 breakdown-row reads frozen allowlist until a row schema exists; D2 identity-element accumulators and D3 Optional coalesce exempt by shape	success criterion as worded unreachable otherwise	/c/Users/skywa/AppData/Local/Temp/claude/C--Users-skywa-Desktop-claude-code-merged-calculator/85529a23-c569-4b08-b009-dfcc47dd7374/scratchpad/wave0/S3-damage-literals.md	U04 launched
2026-08-21T13:08:26-05:00	wave2	U05 merged: sustain fail-closed; _READY_FIRST_AUTO_ITEMS -> option schema; ON_ATTACK_TRIGGER_ITEMS -> registry counter_trigger (not a CAPABILITIES projection: Navori has no capability). 30 raw kind reads are 4 vocabularies, none bus-shaped; handoff table in report	diff reconciled 2 files +189/-41; 3 goldens identical; 13824 passed	4351b44c	merged. Asides for wave 3: item_effects.py champion_stats.get("health"/"max_mana", 0.0) at Titanic/Muramana (C bucket); utility kind vocabulary needs a UtilityDimension enum (pt.py:2282-2510)
